name,type,time,amount,month,weekday,monthday,yearday,hour,minute,min15,dayquarter
SplashandDash,Services,2016-05-13T20:27:00Z,1,5,Fri,13,134,14,27,2016-05-13T20:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-13T20:27:00Z,-0,5,Fri,13,134,14,27,2016-05-13T20:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-16T19:31:00Z,23.58,5,Mon,16,137,13,31,2016-05-16T19:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-16T17:09:00Z,18.87,5,Mon,16,137,11,9,2016-05-16T17:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-16T17:47:00Z,23.58,5,Mon,16,137,11,47,2016-05-16T18:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-16T17:50:00Z,23.58,5,Mon,16,137,11,50,2016-05-16T18:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-16T21:23:00Z,18.87,5,Mon,16,137,15,23,2016-05-16T21:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-16T21:31:00Z,14.15,5,Mon,16,137,15,31,2016-05-16T21:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-16T21:33:00Z,47.17,5,Mon,16,137,15,33,2016-05-16T21:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-16T21:36:00Z,47.17,5,Mon,16,137,15,36,2016-05-16T21:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-16T14:47:00Z,-1,5,Mon,16,137,8,47,2016-05-16T15:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-16T14:47:00Z,-0,5,Mon,16,137,8,47,2016-05-16T15:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T19:37:00Z,30,5,Tues,17,138,13,37,2016-05-17T19:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T19:53:00Z,80,5,Tues,17,138,13,53,2016-05-17T20:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T16:42:00Z,20,5,Tues,17,138,10,42,2016-05-17T16:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T17:38:00Z,25,5,Tues,17,138,11,38,2016-05-17T17:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T18:03:00Z,20,5,Tues,17,138,12,3,2016-05-17T18:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T18:05:00Z,20,5,Tues,17,138,12,5,2016-05-17T18:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T18:59:00Z,20,5,Tues,17,138,12,59,2016-05-17T19:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T20:14:00Z,25,5,Tues,17,138,14,14,2016-05-17T20:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T21:22:00Z,1,5,Tues,17,138,15,22,2016-05-17T21:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T21:25:00Z,25,5,Tues,17,138,15,25,2016-05-17T21:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T21:27:00Z,20,5,Tues,17,138,15,27,2016-05-17T21:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T21:40:00Z,40,5,Tues,17,138,15,40,2016-05-17T21:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T22:16:00Z,10,5,Tues,17,138,16,16,2016-05-17T22:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T22:27:00Z,10,5,Tues,17,138,16,27,2016-05-17T22:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T15:20:00Z,5,5,Tues,17,138,9,20,2016-05-17T15:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T19:16:00Z,25,5,Wed,18,139,13,16,2016-05-18T19:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T19:21:00Z,40,5,Wed,18,139,13,21,2016-05-18T19:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T19:35:00Z,25,5,Wed,18,139,13,35,2016-05-18T19:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T19:38:00Z,20,5,Wed,18,139,13,38,2016-05-18T19:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T19:56:00Z,7,5,Wed,18,139,13,56,2016-05-18T20:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T17:57:00Z,20,5,Wed,18,139,11,57,2016-05-18T18:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T18:18:00Z,12,5,Wed,18,139,12,18,2016-05-18T18:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T18:20:00Z,12,5,Wed,18,139,12,20,2016-05-18T18:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T18:24:00Z,16,5,Wed,18,139,12,24,2016-05-18T18:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T18:53:00Z,5,5,Wed,18,139,12,53,2016-05-18T19:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T18:59:00Z,30,5,Wed,18,139,12,59,2016-05-18T19:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T20:07:00Z,22,5,Wed,18,139,14,7,2016-05-18T20:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T20:07:00Z,6,5,Wed,18,139,14,7,2016-05-18T20:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T20:14:00Z,36,5,Wed,18,139,14,14,2016-05-18T20:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T20:22:00Z,50,5,Wed,18,139,14,22,2016-05-18T20:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-19T17:28:00Z,20,5,Thurs,19,140,11,28,2016-05-19T17:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-19T17:34:00Z,20,5,Thurs,19,140,11,34,2016-05-19T17:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T19:25:00Z,25,5,Fri,20,141,13,25,2016-05-20T19:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T19:29:00Z,22.5,5,Fri,20,141,13,29,2016-05-20T19:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T19:43:00Z,70,5,Fri,20,141,13,43,2016-05-20T19:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T19:50:00Z,125,5,Fri,20,141,13,50,2016-05-20T20:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T17:45:00Z,25,5,Fri,20,141,11,45,2016-05-20T17:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T17:46:00Z,20,5,Fri,20,141,11,46,2016-05-20T18:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T18:01:00Z,25,5,Fri,20,141,12,1,2016-05-20T18:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T18:29:00Z,70,5,Fri,20,141,12,29,2016-05-20T18:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T18:50:00Z,30,5,Fri,20,141,12,50,2016-05-20T19:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T20:04:00Z,25,5,Fri,20,141,14,4,2016-05-20T20:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T20:05:00Z,20,5,Fri,20,141,14,5,2016-05-20T20:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T20:21:00Z,40,5,Fri,20,141,14,21,2016-05-20T20:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T20:25:00Z,15,5,Fri,20,141,14,25,2016-05-20T20:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T20:42:00Z,10,5,Fri,20,141,14,42,2016-05-20T20:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-21T19:23:00Z,8,5,Sat,21,142,13,23,2016-05-21T19:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-21T19:25:00Z,8,5,Sat,21,142,13,25,2016-05-21T19:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-21T18:22:00Z,23,5,Sat,21,142,12,22,2016-05-21T18:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-21T21:10:00Z,15,5,Sat,21,142,15,10,2016-05-21T21:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-23T16:14:00Z,-8,5,Mon,23,144,10,14,2016-05-23T16:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-23T16:16:00Z,-1.75,5,Mon,23,144,10,16,2016-05-23T16:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-23T18:33:00Z,25,5,Mon,23,144,12,33,2016-05-23T18:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-23T21:18:00Z,20,5,Mon,23,144,15,18,2016-05-23T21:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-23T22:05:00Z,20,5,Mon,23,144,16,5,2016-05-23T22:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-23T22:08:00Z,20,5,Mon,23,144,16,8,2016-05-23T22:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-24T19:07:00Z,27,5,Tues,24,145,13,7,2016-05-24T19:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-24T19:25:00Z,18,5,Tues,24,145,13,25,2016-05-24T19:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-24T19:26:00Z,15,5,Tues,24,145,13,26,2016-05-24T19:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-24T19:43:00Z,30,5,Tues,24,145,13,43,2016-05-24T19:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-24T16:21:00Z,45,5,Tues,24,145,10,21,2016-05-24T16:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-24T17:25:00Z,55,5,Tues,24,145,11,25,2016-05-24T17:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-24T18:04:00Z,10,5,Tues,24,145,12,4,2016-05-24T18:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-24T18:25:00Z,40,5,Tues,24,145,12,25,2016-05-24T18:30:00Z,2016-05-17T00:00:00Z
